"Year","Month","Day_of_Week","Hour","Division","Location","Brand","Type","Speed","Colour","Cost","Status","Total_theft"
2024,5,7,1,14,5,2,5,8,7,2500,1,41
2024,5,7,21,13,5,2,5,8,1,500,1,41
2024,5,7,20,14,1,2,1,8,1,2500,1,41
2024,5,6,8,11,1,2,4,1,1,1000,1,39
2024,5,1,18,41,1,2,2,35,1,2000,1,43
2024,5,1,20,42,1,1,4,1,7,150,1,43
2024,5,2,12,51,1,2,2,27,1,1200,1,47
2024,5,2,11,52,3,2,5,30,1,1129,1,47
2024,5,2,23,43,1,2,5,1,8,200,1,47
2024,5,2,15,14,1,2,5,10,5,1000,1,47
2024,5,2,19,51,2,2,2,1,7,600,1,47
2024,5,3,10,53,5,2,5,3,6,1200,1,50
2024,5,6,17,14,2,2,2,32,8,3000,1,39
2024,5,2,19,51,5,1,5,4,2,699,1,47
2024,5,2,23,43,1,2,5,1,8,200,1,47
2024,5,3,9,51,5,2,2,30,1,1000,1,50
2024,5,3,14,53,2,2,1,1,1,599,1,50
2024,5,3,14,31,4,2,5,7,1,500,1,50
2024,5,3,9,51,5,2,2,30,1,1000,1,50
2024,5,2,19,51,5,1,5,4,2,699,1,47
2024,5,1,12,33,1,1,4,1,1,600,1,43
2024,5,2,18,22,1,2,5,9,1,1096,1,47
2024,5,4,15,31,3,2,1,1,8,180,1,52
2024,5,2,20,51,1,1,5,22,1,2000,1,47
2024,5,4,16,11,1,2,1,7,6,400,1,52
